著作id,出版著作名称,著作类别,ISBN号,编辑,出版时间,总字数（万字）,国家/地区,语种,出版社,全文地址,署名单位,归属二级单位编码,归属二级单位名称,其他署名单位,成员信息,校内成员账号
769,中国企业出口表现及其影响因素研究,专著,978-7-306-07629-8,,2022-11-01,46.0,,中文,中山大学出版社,,中山大学,10000.0,岭南学院,,鲁晓东（080104）,080104
770,张荫麟评传,专著,978-7-218-09318-5,,2014-04-01,20.6,,中文,广东人民出版社,,中山大学,11200.0,历史学系,,李欣荣（120127）、曹家启（020008）,120127、020008
771,广州与海洋文明III,编著,978-7-5475-1935-6,江滢河,2022-03-30,30.0,中国,中文,上海中西书局,,中山大学,11200.0,历史学系,,江滢河（006680）、周湘（006535）,006680、006535
772,容肇祖评传,专著,978-7-218-10940-4,,2016-06-15,18.3,,中文,广东人民出版社,,中山大学,11200.0,历史学系,,李欣荣（120127）,120127
773,中国近代思想家文库·沈家本卷,编著,978-7-300-18780-8,,2015-01-20,40.0,,中文,中国人民大学出版社,,中山大学,11200.0,历史学系,,李欣荣（120127）,120127
774,什么是经典世界,编著,9787306070555,张清江,2020-11-01,40.5,,,中山大学出版社,,中山大学,,,,张清江（180393）,180393
775,权力的生成：香港市区重建的民族志,专著,978-7-5097-9830-0,,2017-02-01,26.2,中国,中文,社会科学文献出版社,,中山大学,,,,夏循祥（130219）,130219
776,试验设计与数据分析——从宏观到微观,教材,978-7-03-072805-0,,2022-08-01,50.0,,中文,科学出版社,,中山大学,33000.0,生命科学学院,,陈柏洪（176093）、付永贵（070100）、刘海英（120143）、刘徐兵（130274）、熊远妍（130158）、张文庆（004907）、周强（006874）,070100、120143、130274、130158、004907、006874
777,China Seismic Experimental Site Theoretical Framework and Ongoing Practice,编著,978-981-16-8606-1,,2022-07-01,30.0,,外文,Springer Singapore,,其他,,,中山大学地球科学与工程学院,李志刚（200510）,200510
778,地球科学概论（第二版）,教材,978-7-116-12915-3,,2022-08-31,54.0,中国,中文,地质出版社,,中山大学,32110.0,地球科学与工程学院,,张珂（004144）、郑卓（004798）、章桂芳（110168）,110168
779,戴裔煊先生诞辰110周年纪念文集,编著,9787547517857,,2021-12-30,60.0,中国,中文,上海中西书局,,中山大学,11200.0,历史学系,,章文钦（001228）、江滢河（006680）,006680
780,Cultures of Mathematics and Logic,编著,9783319315027,,2016-09-30,20.0,,外文,Springer-Birkhauser,,中山大学,,,,鞠实儿、Benedikt Lowe、Thomas Muller、谢耘（110138）,110138
781,护理管理学,教材,978-7-117-32867-8,,2022-05-01,47.3,中国,中文,人民卫生出版社,,中山大学,53000.0,护理学院,,张俊娥（019617）,019617
782,理解民生：社会政策调查报告选集（2020）,编著,9787520188838,,2021-08-01,22.9,,中文,社会科学文献出版社,,中山大学,13000.0,政治与公共事务管理学院,,陈永杰（080071）,080071
783,理解民生：社会政策调查报告选集（2019）,编著,9787520163606,,2020-06-01,27.8,,中文,社会科学文献出版社,,中山大学,13000.0,政治与公共事务管理学院,,陈永杰（080071）,080071
784,意义与意向性,专著,978-7-5203-9793-3,,2022-06-01,44.0,,中文,中国社会科学出版社,,中山大学,11300.0,哲学系,,黄敏（050112）,050112
785,语言的可持续性,编著,978-7-306-06879-8,,2020-07-01,24.0,中国,中文,中山大学出版社,,中山大学,21000.0,国际翻译学院,,常晨光（004571）,004571
786,中学生标准英汉词典,编著,978-7-100-18398-7,,2020-11-01,70.0,中国,中文,商务印书馆,,中山大学,21000.0,国际翻译学院,,常晨光（004571）,004571
787,Critical discourse and corpus approaches to systemic functional grammar,编著,978-3-7369-7374-3,,2021-11-11,25.0,德国,外文,"Cuvillier Verlag, Gottingen",,中山大学,21000.0,国际翻译学院,,常晨光（004571）,004571
788,功能路径翻译研究,编著,978-7-306-07464-5,,2022-03-01,24.1,中国,中文,中山大学出版社,,中山大学,21000.0,国际翻译学院,,常晨光（004571）,004571
789,创业研究前沿：问题、理论与方法,编著,9787111707158,,2022-07-01,1289.0,,中文,机械工业出版社,,中山大学,14000.0,管理学院（创业学院）,,杨俊、朱沆（006399）、于晓宇,006399
790,基于员工行为特征的动态生产率下生产-库存优化,专著,978-7-309-16112-0,,2022-09-01,16.0,,中文,复旦大学出版社,,其他,,,广东金融学院,伏开放、陈志祥（006762）,006762
791,地方与无地方(代译序),译著,9787100175425,,2021-02-01,20.0,,中文,商务印书馆,,中山大学,40000.0,旅游学院,,张骁鸣（060139）,060139
792,科技助力下的网球教学与训练研究,专著,978-7-306-07648-9,,2022-11-06,19.8,,中文,中山大学出版社,,中山大学,16300.0,体育部,,张丹（190306）,190306
793,老年护理学（第5版）,教材,9787117327381,,2022-08-06,30.0,,中文,人民卫生出版社,,中山大学,53000.0,护理学院,,颜君（019608）,019608
794,"""Chapter 13: Sludge derived biochar and its application on metal/ metalloid stablization"" in ""biochar from biomass and waste""",专著,978-012-811-729-3,,2018-11-18,1.0,美国,外文,Elservier,,中山大学,38000.0,环境科学与工程学院,,章卫华（060184）、Daniel C.W. Tsang,060184
795,"Asymmetric Addition of Inert C-H Bond to Carbonyls, Imines, and Electron-Deficient Alkenes",专著,9783527834242,,2022-12-28,1.0,,外文,Wiley‐VCH GmbH,https://onlinelibrary.wiley.com/doi/epdf/10.1002/9783527834242.chf0025,中山大学,31000.0,化学学院,,Laxmaiah Vasamsetty（186698）、汪君（130023）,130023
796,人口老龄化与长期护理保险试点：广州模式,专著,9787511741790,,2022-08-01,21.1,,中文,中央编译出版社,,中山大学,13000.0,政治与公共事务管理学院,,陈永杰（080071）,080071
797,论证挖掘与论证形式化,专著,9787030734679,,2022-10-31,336000.0,中国,中文,科学出版社,,中山大学,11300.0,哲学系,,鲜于波（110089）,110089
798,医院人力资源管理,教材,978-7-5679-1937-2,,2022-07-01,41.0,中国,中文,中国协和医科大学出版社,,中山大学,51000.0,公共卫生学院,,黄奕祥（015250）、陈胜亮（21214353）,015250
799,"Phosphor Handbook: Novel Phosphors, Synthesis, and Applications",专著,978-036-755-514-6,,2022-01-31,32.0,,外文,CRC Press,,中山大学,31000.0,化学学院,,刘伯梅（206868）、黄霖（196550）、宣瞳瞳、王静（040085）,040085
800,《马克思主义：中国与西方的视角》,编著,9787509713457,,2010-04-16,33.4,,中文,社会科学文献出版社,,中山大学,9040.0,马克思主义哲学与中国现代化研究所,,谭群玉（020109）,020109
801,无国之谍——以色列建国之际的秘密特工,译著,978-7-218-15920-1,,2022-12-10,18.4,中国,中文,广东人民出版社,,中山大学,21000.0,国际翻译学院,,曾记（120227）,120227
802,健康广东2030战略研究,专著,978-7-218-15444-2,,2021-12-01,24.0,中国,中文,广东人民出版社,,中山大学,51000.0,公共卫生学院,,黄奕祥（015250）、黄飞、陈滢滢（15220008）、许婉纯（13313024）,015250
803,体育美学,教材,978-7-306-07646-5,,2022-12-15,24.6,,中文,中山大学出版社,,中山大学,16300.0,体育部,,杨波（014116）,014116
804,数字化时代建立领导品牌：理论与模式创新,专著,978-7-5201-5928-9,,2020-01-06,21.9,,中文,社会科学文献出版社,,中山大学,41000.0,国际金融学院,,蒋廉雄（006298）,006298
805,健康服务与管理导论,教材,9787117296243,,2020-04-01,28.2,,中文,人民卫生出版社,,中山大学,51000.0,公共卫生学院,,匡莉（014061）,014061
806,量子计算与量子信息-十周年版,译著,9787121426872,,2022-02-01,98.0,中国,中文,电子工业出版社,www.phei.com.cn/module/goods/wssd_content.jsp?bookid=59942,其他,,,中国科学院计算技术研究所,孙晓明、尚云、李绿周（110147）、尹璋琦、魏朝晖、田国敬,110147
807,趣赏冬奥（系列丛书）,编著,978-7-306-07234-4,,2021-12-18,27.0,,中文,中山大学出版社,,中山大学,16300.0,体育部,,张新萍（006556）,006556
808,自由贸易区与粤港澳合作机制研究,专著,978-7-313-14661-8,,2016-03-10,37.0,,中文,上海交通大学出版社,,中山大学,41000.0,国际金融学院,,代中现（080069）,080069
809,中国区域贸易一体化法律制度研究,专著,978-7-301-14240-0,,2008-12-15,38.6,,中文,北京大学出版社,,中山大学,41000.0,国际金融学院,,代中现（080069）,080069
810,国际商法教程,教材,978-7-313-14653-3,,2016-04-28,34.7,,中文,上海交通大学出版社,,中山大学,41000.0,国际金融学院,,代中现（080069）,080069
811,粤港澳紧密合作中的法律问题研究,编著,978-7-80219-945-3,,2011-10-16,30.4,,中文,中国民主法制出版社,,中山大学,12000.0,法学院（知识产权学院、中英国际海事法学院）,,代中现（080069）,080069
812,CEPA协议及其实施中的法律问题研究,编著,978-7-5036-9994-8,,2009-11-16,26.4,,中文,法律出版社,,中山大学,12000.0,法学院（知识产权学院、中英国际海事法学院）,,代中现（080069）,080069
813,新投资与新增长,编著,978-7-5228-0188-9,,2022-06-01,25.3,,中文,社会科学文献出版社,,中山大学,41000.0,国际金融学院,,王晴（200514）,200514
814,双创蓝皮书：中国双创发展报告（2021~2022）,编著,9787522806334,,2022-12-01,26.6,,中文,社会科学文献出版社,,中山大学,41000.0,国际金融学院,,王晴（200514）,200514
815,Banach格的张量积理论,专著,9787030669735,,2020-08-08,20.0,,中文,科学出版社,,中山大学,34000.0,数学学院,,黎永锦（005028）,005028
816,变分方法与交叉学科,专著,978-7-03-070503-7,李冏玥,2022-02-28,30.0,中国,中文,科学出版社,,中山大学,34000.0,数学学院,,丁彦恒、余渊洋、李冏玥（190232）,190232
817,地方财政可持续性评估报告2021,编著,978-7-306-07581-9,,2022-07-15,30.0,中国,中文,中山大学出版社,,中山大学,41000.0,国际金融学院,,张莉（130231）、汪德华,130231
818,剑桥应用语言学年度评论2020回顾与前行,编著,978-7-100-20574-0,,2022-02-28,10.0,中国,中文,商务印书馆 ,,中山大学,15000.0,外国语学院,,赵静（140119）,140119
819,通过大协同营销战略建立国家品牌（为何佳讯主编的《品牌的智慧——为企业和政府建言献策》一书中的一章）,编著,9787543231566,,2020-11-01,1.0,,中文,格致出版社,,中山大学,41000.0,国际金融学院,,蒋廉雄（006298）,006298
820,Logics for New-Generation AI,编著,978-1-84890-406-4,,2022-06-06,11.1,,外文,College Publications,https://www.collegepublications.co.uk/LNGAI/?00002,中山大学,72110.0,哲学系（珠海）,,廖备水、Reka Markovich、王轶（200087）,200087
821,平田茂树著、胡劲茵译《宋代政治的空间与结构：科举社会的“人际网络”研究》,专著,978-7-5540-2345-7,,2022-12-01,28.0,中国,中文,浙江古籍出版社,,其他,,,中山大学,胡劲茵（110143）,110143
822,原子光谱分析前沿,编著,978-7-03-072928-6,,2022-09-01,130.0,,中文,科学出版社,,中山大学,31000.0,化学学院,,钟燕辉（18212825）、肖小华（050184）、胡玉斐（100147）、李攻科（005061）,050184、100147、005061
823,Sample preparation in capillary electrophoresis for food analysis,编著,978-981-5036-16-9,,2022-10-01,230.0,,外文,Bentham Science Publishers Pte. Ltd.,,中山大学,31000.0,化学学院,,夏凌（177268）、黄斯敏（21110360）、李攻科（005061）,005061
824,样品制备方法及应用,编著,9787122418845,,2022-10-01,100.0,,中文,化学工业出版社,,中山大学,31000.0,化学学院,,李攻科（005061）、汪正范、胡玉玲（020125）、肖小华（050184）,005061、020125、050184
825,"Cross-Cultural Approaches to Consciousness: Mind, Nature, and Ultimate Reality",编著,978-1-3502-3850-3,,2022-12-11,12.0,英国,外文,Bloomsbury Academic,,中山大学,72110.0,哲学系（珠海）,,Susanne Kathrin Beiweis（167582）、Itay Shani（170229）,170229
826,探索神奇的火星,编著,9787110104057,,2022-10-01,20.0,,中文,中国科学普及出版社,,中山大学,33000.0,生命科学学院,,郭金虎（100011）,100011
827,国科学技术名词审定委员会公布睡眠医学名词,编著,978-7-03-072394-9,,2022-08-26,10.0,中国,中文,科学出版社,,中山大学,33000.0,生命科学学院,,郭金虎（100011）,100011
828,The Change of Narrative Modes in Chinese Fiction (1989-1927),译著,978-981-16-6201-0,,2022-02-01,37.0,英国,外文,施普林格出版社,,中山大学,21000.0,国际翻译学院,,谢桂霞（120257）,120257
829,环境分子微生物学,教材,978-7-03-071950-8,,2022-03-01,34.0,中国,中文,科学出版社,,中山大学,38000.0,环境科学与工程学院,,汪善全（160007）,160007
830,《污水生物处理——原理、设计与模拟》,教材,978-7-112-27045-3,,2022-08-01,105.9,中国,中文,中国建筑工业出版社,,中山大学,38000.0,环境科学与工程学院,,吕慧（120005）、孙连鹏（006896）、陈光浩（110027）、吴镝、郝天伟,120005、006896
831,译者之思：谈余光中对《梵谷传》与《老人与海》的重译,专著,9789574458837,,2020-07-29,20.0,中国台湾,中文,台北书林出版公司,,中山大学,21000.0,国际翻译学院,,杨承淑、赵若淇、郭聪（230506）,230506
832,广东省高校图书馆发展报告：2014-2019,编著,978-7-306-07476-8,,2022-04-01,53.0,中国,中文,中山大学出版社,广州市新港西路135号,中山大学,20000.0,信息管理学院,,程焕文（001372）,001372
833,大洋洲蓝皮书——大洋洲发展报告,编著,9787522803531,,2022-07-01,20.0,,中文,中国社科文献出版社,,中山大学,65000.0,国际关系学院,,王学东（040120）,040120
834,《菲律宾蓝皮书：菲律宾发展报告（2020-2021）》,编著,978-7-5228-0150-6,,2022-11-01,27.0,,中文,社科文献出版社,,中山大学,65000.0,国际关系学院,,张宇权（006886）,006886
835,南海航海史,专著,978-7-5501-7306-4,,2022-04-01,26.0,,中文,南方出版社,,中山大学,72120.0,历史学系（珠海）,,吴滔（050058）,050058
836,Multi-Agent Technologies and Machine Learning,编著,978-1-80356-444-9,,2022-09-05,8000.0,,外文,Intech Open,https://www.intechopen.com/online-first/83447,中山大学,76160.0,智能工程学院,,周少锐（220581）、蔡铭（040077）、卓晓坡（217132）,220581、040077
837,动力气象学（第二版）,教材,978-7-5029-7766-5,,2022-09-01,34.5,,中文,气象出版社,,中山大学,74110.0,大气科学学院,,贺海晏（000745）、简茂球（004146）、乔云亭（020112）、杜宇（170132）,004146、020112、170132
838,理性选择导论,教材,978-7-03-071923-2,,2022-03-01,21.2,中国,中文,科学出版社,,中山大学,2163.0,人文社会科学处,,熊卫（006389）,006389
839,中国新闻业年度观察报告2022,编著,978-7-5115-7569-2,,2022-12-01,25.0,,中文,人民日报出版社,,中山大学,17000.0,新闻传播学院,,张志安、徐桂权（140226）,140226
840,"Metal Oxide-Based Nanostructured Electrocatalysts for Fuel Cells, Electrolyzers, and Metal-air Batte",编著,978-0-12-818496-7,,2021-06-01,10.0,美国,外文,Elsevier,https://www.sciencedirect.com/science/article/pii/B9780128184967000023,中山大学,76180.0,材料学院,,杨纯臻（180155）,180155
841,Nickel Foam Electrode with Low Catalyst Loading and High Performance for Alkaline Direct Alcohol Fue,编著,1839681276,,2022-07-06,8.0,美国,外文,Intechopen,https://www.amazon.com/Electrocatalysis-Electrocatalysts-Cleaner-Environment-Fundamentals/dp/1839681,中山大学,76180.0,材料学院,,杨纯臻（180155）,180155
842,进化（13节生物小课堂）,译著,9787559659002,,2022-12-01,1.0,,中文,北京联合出版公司 ,,其他,,,中山大学外国语学院（译者简介）,孙娟（200504）,200504
843,日语副词的偏误研究（下）,编著,978-7-5178-4783-0,,2022-04-01,40.5,,中文,浙江工商大学出版社,,中山大学,15000.0,外国语学院,,徐爱红（020166）,020166
844,基于语料库的英语名词化之系统功能语言学研究,专著,978-710-020-726-3,,2022-05-01,20.0,,中文,商务印书馆,,中山大学,15000.0,外国语学院,,何清顺（180064）,180064
845,全国商务英语专业八级考试真题与模拟题集,教材,978-7-04-058007-5,,2022-03-01,40.2,中国,外文,高等教育出版社,,中山大学,15000.0,外国语学院,,周文萱（210510）,210510
846,新版剑桥商务英语(高级)：学生用书(第3版),教材,978-7-100-19558-4,,2021-04-30,48.0,,外文,商务印书馆,,中山大学,15000.0,外国语学院,,伊恩.麦肯齐、王哲（005979）,005979
847,人格与爱：德国当代著名哲学家文集,译著,978-7-306-07589-5,,2022-09-01,16.0,,中文,中山大学出版社,,中山大学,11300.0,哲学系,,江璐（130283）,130283
848,中世纪哲学,译著,9787522511337,,2022-10-01,50.7,,中文,九州出版社,,中山大学,11300.0,哲学系,,江璐（130283）,130283
849,四书选讲,专著,978-7-5531-1721-8,,2022-07-01,43.0,中国,中文,巴蜀书社,,中山大学,11300.0,哲学系,,杨海文（006527）,006527
850,文以载道：孟子文化精神研究,专著,978-7-5227-0046-5,,2022-06-01,41.7,中国,中文,中国社会科学出版社,,中山大学,11300.0,哲学系,,杨海文（006527）,006527
851,绿色∙简约：共存的智慧,专著,978-7-5225-0800-9,,2021-01-15,18.9,,中文,九州出版社,,中山大学,72110.0,哲学系（珠海）,,王华平（210253）,210253
852,东北冷涡暴雨,专著,978-7-03-072490-8,,2022-07-01,31.7,中国,中文,科学出版社,,中山大学,74110.0,大气科学学院,,王东海（160022）,160022
853,随机过程教程,教材,978-7-03-072439-7,,2022-09-15,46.0,,中文,科学出版社,,中山大学,34000.0,数学学院,,任佳刚（030014）,030014
854,水污染控制工程实验教程,教材,978-7-122-03988-0,,2009-01-31,15.1,中国,中文,化学工业出版社,,中山大学,38000.0,环境科学与工程学院,,樊青娟（040188）、刘广立（040167）、黄海勇（069235）,040167
855,宇宙奥德赛：漫步太阳系,专著,9787302509288,,2018-10-01,28.0,中国,中文,清华大学出版社,,中山大学,,,,王爽（180376）,180376
856,车八岭中亚热带常绿阔叶林监测样地-物种组成与群落结构,编著,978-7-5359-7577-5,,2020-11-05,40.0,中国,中文,广东科技出版社,,中山大学,33000.0,生命科学学院,,李步杭（110080）、吴智宏、宾粤（116026）、肖荣高、宋相金、束祖飞、储诚进（140048）,140048
857,简能成物——柔性传统在现代社会之反思,编著,978-7-5075-4976-8,,2018-09-20,19.0,中国,中文,华文出版社,,中山大学,72110.0,哲学系（珠海）,,王堃（170334）,170334
858,弗洛伊德爱情心理学文选,译著,9787567568051,,2017-11-01,6.9,,中文,华东师范大学出版社,,中山大学,72110.0,哲学系（珠海）,,卢毅（200520）,200520
859,生物学实验基本技术与方法数字课程分册Ⅻ,教材,978-7-89423-811-5,,2018-07-01,18.0,中国,中文,高等教育出版社、高等教育电子音像出版社,https://icc.hep.com.cn/jlu/swxsy,中山大学,33000.0,生命科学学院,,张雁（070017）、张以顺（005659）、龙钊（139020）、陈红英（014162）、陈云凤（006011）、龙天澄（006318）、孟繁梅（005928）、时光（130313）、伍俭儿（005179）、许佳玲（119205）、张碧鱼（080074）、郑晓如（119206）,070017、130313
860,化橘红有效成分柚皮苷的药效及作用机制研究,专著,978-7-306-07616-8,苏薇薇,2022-10-31,32.2,中国,中文,中山大学出版社,,中山大学,33000.0,生命科学学院,,苏薇薇（006654）、李沛波（040101）、吴灏（207079）、王永刚（020144）、彭维（069063）,006654、040101、020144
861,广东丹霞山植物图鉴,专著,978-7-03-064051-2,,2022-03-01,128.0,中国,中文,科学出版社,,中山大学,33000.0,生命科学学院,,凡强（070144）、廖文波（005302）、赵万义（217026）,070144、005302
862,以化橘红为基源的新药研究与开发,专著,978-7-306-07520-8,苏薇薇,2022-05-01,91.5,中国,外文,中山大学出版社,,中山大学,33000.0,生命科学学院,,苏薇薇（006654）、李沛波（040101）、王永刚（020144）、吴灏（207079）,006654、040101、020144
863,柚果饮片的炮制工艺,专著,978-7-306-07549-9,,2022-07-01,10.0,中国,中文,中山大学出版社,,中山大学,33000.0,生命科学学院,,王永刚（020144）、陈浩源（19213103）、苏薇薇（006654）,020144、006654
864,动植物来源的天然产物研究与开发,专著,978-7-306-07522-2,苏薇薇,2022-05-01,60.3,中国,外文,中山大学出版社,,中山大学,33000.0,生命科学学院,,苏薇薇（006654）、王永刚（020144）、李沛波（040101）、郑玉莹（196540）,006654、020144、040101
865,中药大品种上市后质量与药效再评价研究,专著,978-7-306-07518-5,苏薇薇,2022-05-01,69.1,中国,中文,中山大学出版社,,中山大学,33000.0,生命科学学院,,苏薇薇（006654）、王永刚（020144）、吴灏（207079）,006654、020144
866,Aggregation-Induced Emission (AIE) A Practical Guide,专著,978-0-12-824335-0,,2022-04-17,148.0,,外文,Elsevier,https://www.sciencedirect.com/science/article/pii/B9780128243350000180?via%3Dihub,中山大学,31000.0,化学学院,,陈晓洁（19110455）、葛向宇（19212853）、杨湛（16110384）、赵娟（200507）、杨志涌（180338）、张艺（020108）、池振国（060022）,200507、180338、020108、060022
867,Machiavelli in Northeast Asia,编著,978-1-032-25691-7,,2022-10-19,10.0,,外文,Routledge,,中山大学,72110.0,哲学系（珠海）,,Jun-Hyeok Kwak（160019）,160019
868,战前台湾哲学诸相：实存的行旅,专著,9786263176737,,2022-06-01,20.0,中国台湾,中文,五南出版社,,中山大学,11300.0,哲学系,,廖钦彬（150013）,150013
869,Советский Союз и сионистское движение(苏联与犹太复国主义运动）,专著,978-5-4469-2151-5,,2022-12-27,61.3,俄罗斯联邦,外文,Нестор- История涅斯托尔-历史出版社（俄罗斯圣彼得堡）,,中山大学,11200.0,历史学系,,肖瑜（120126）,120126
870,广东盐业史,编著,978-7-306-07475-1,,2022-10-01,52.7,,中文,中山大学出版社,,中山大学,11200.0,历史学系,,李晓龙（180383）,180383
871,自主式交通系统构成理论基础,专著,978-7-306-07697-7,,2022-12-18,66.9,,中文,中山大学出版社,,中山大学,76160.0,智能工程学院,,蔡铭（040077）、熊宸（230521）、肖尧（200017）、徐云雯、杨炜俊（216754）、金书鑫（206175）、郑来、岑学楷,040077、230521
872,Artificial Intelligence Oceanography,编著,978-981-102-892-2,,2023-02-04,20.0,,外文,Springer Singapore,https://link.springer.com/chapter/10.1007/978-981-19-6375-9_6,中山大学,42000.0,海洋科学学院,,卢文芳（210201）,210201
873,幸福心理学,专著,978-7-306-07552-9,,2022-06-01,340.0,,中文,中山大学出版社,,中山大学,14000.0,管理学院（创业学院）,,王永丽（050013）,050013
874,Selforganizology: The Science of Self-Organization,专著,978-981-4699-48-8,,2016-01-01,50.0,新加坡,外文,World Scientific,https://doi.org/10.1142/9685,中山大学,33000.0,生命科学学院,,张文军（006052）,006052
875,高级管理会计理论与案例,编著,978-7-5128-2630-2,,2021-07-31,57.0,,中文,经济科学出版社,,其他,,,《高级管理会计理论与案例》编写组,蔡祥（030127）,030127
876,会计学基础（学习指导书）,教材,978-7-04-045745-2,,2020-02-29,33.0,,中文,高等教育出版社,,中山大学,14000.0,管理学院（创业学院）,,蔡祥（030127）,030127
877,人民卫生出版社中国医学教育题库护理学题库（本科）,教材,978-7-89456-789-5,,2020-08-12,0.0,,,人民卫生出版社,,中山大学,,,,李琨（100151）,100151
878,中国哲学史通识读本,编著,978-7-5657-2618-7,,2020-10-31,37.8,,中文,中国传媒大学出版社,,中山大学,72110.0,哲学系（珠海）,,邓联合（190179）,190179
879,服务业的产业融合与发展,专著,978-7-5058-6370-5,,2007-06-26,30.0,,中文,经济科学出版社,,中山大学,14000.0,管理学院（创业学院）,,李美云（006537）,006537
880,《中国气候与环境演变：2021 · 第一卷：科学基础》第十一章,专著,9787030697790,,2021-09-01,3.6,中国,中文,科学出版社,,其他,,,编委会,杨崧（130001）、魏维（200547）,130001、200547
881,目的地市场营销与管理,译著,978-7-5032-5066-8,,2014-02-01,50.0,,中文,中国旅游出版社,,中山大学,40000.0,旅游学院,,张朝枝（050113）、郑艳芬,050113
882,旅游管理地管理,教材,9787568924108,,2021-01-01,31.0,,中文,重庆大学出版社,,中山大学,40000.0,旅游学院,,张朝枝（050113）、陈钢华（150167）,050113、150167
883,"People, Citizen, and User: Shifting Articulations of Audience in Chinese Communication Research (197",专著,978-1-032-46868-6,,2023-03-23,15.0,英国,外文,Routledge,,中山大学,17000.0,新闻传播学院,,徐桂权（140226）,140226
884,跨学科视角下的语言与身份认同：兼谈香港问题,专著,978-962-04-5052-5,,2022-09-01,12.0,中国香港,中文,三联书店（香港）有限公司,,中山大学,9060.0,港澳珠江三角洲研究中心,,郭宇菲（200519）,200519
885,Theories and Methods for Minimizing Cadmium Pollution in Crops: Case Studies on Water Spinach,专著,978-981-16-7750-2,,2022-04-23,85000.0,,外文," Springer, Singapore",,中山大学,33000.0,生命科学学院,,何春桃（200552）,200552
886,Der Begriff des malum in der philosophischen Psychologie Augustins（奥古斯丁哲学心理学中的恶的概念）,专著,978-3-506-78535-0,,2016-09-01,30.0,,外文,Brill Schöningh,,中山大学,11300.0,哲学系,,杨小刚（200532）,200532
887,Advanced Driver Assistance Systems and Autonomous Vehicles  From Fundamentals to Applications 第2章,编著,978-981-19-5052-0,,2022-10-29,2.0,,外文,Springer Singapore,https://link.springer.com/chapter/10.1007/978-981-19-5053-7_2,中山大学,29000.0,材料科学与工程学院,,Yan Li、黄智恒（080010）,080010
888,遗产利用,译著,9787030654823,,2020-06-01,35.0,,中文,科学出版社,,中山大学,40000.0,旅游学院,,苏小燕、张朝枝（050113）,050113
889,远程火箭飞行动力学与制导,教材,978-7-118-09123-6,,2023-03-28,44.3,,中文,科学出版社,,中山大学,76200.0,航空航天学院,,刘鲁华（180056）,180056
890,广州城市社区更新理论与实践,专著,978-7-5074-3434-7,,2021-11-20,30.0,,中文,中国建筑工业出版社,,中山大学,37000.0,地理科学与规划学院,,袁媛（020022）、谭俊杰（19110672）、廖绮晶、何灏宇（19213536）、刘懿莹、陈哲（19213491）,020022
891,医疗实践中的知识呈现,专著,978-7-5228-0731-7,,2022-12-31,15.0,,中文,社科文献出版社,,中山大学,23000.0,社会学与人类学学院,,方芗（130220）,130220
892,新疆考古论稿,专著,978-7-100-21049-2,,2022-09-30,40.0,中国,中文,商务印书馆,,中山大学,23000.0,社会学与人类学学院,,刘文锁（020152）,020152
893,航天器动力学与嵌入式模型控制,译著,978-7-118-12786-7,,2023-05-31,41.6,中国,中文,国防工业出版社,,中山大学,99137.0,中山大学天琴中心,,练军想（180150）、易昭湘（200004）、张剑铭（18110999）、叶小容（19111038）、丁永彬（19111037）,180150、200004
894,液态金属冷却反应堆热工水力与安全分析基础,编著,978-7-302-61359-6,,2022-10-01,40.1,,中文,清华大学出版社,,中山大学,45000.0,中法核工程与技术学院,,成松柏（150029）、陈啸麟（19214016）、程辉（196782）,150029
895,"Computational Ecology： Graphs, Networks and Agent-based Modeling",专著,978-981-4343-61-9,,2012-07-01,47.0,新加坡,外文,World Scientific,https://doi.org/10.1142/8118,中山大学,33000.0,生命科学学院,,张文军（006052）,006052
896,Computational Ecology：  Artificial Neural Networks and Their Applications,专著,978-981-4282-62-8,,2010-06-01,36.0,新加坡,外文,World Scientific,https://doi.org/10.1142/7436,中山大学,33000.0,生命科学学院,,张文军（006052）,006052
897,Advances in Integrated Pest Management Technology,专著,978-3-030-94948-8,,2022-09-01,3.0,瑞士,外文,Springer Nature ,https://link.springer.com/book/10.1007/978-3-030-94949-5,中山大学,33000.0,生命科学学院,,张文军（006052）,006052
898,数字信号处理,译著,9787121034961,,2007-06-30,80.0,,中文,电子工业出版社,,中山大学,73120.0,网络空间安全学院,,方艳梅（005263）,005263
899,迈过石门坎,专著,978-7-5179-1038-1,,2021-04-01,10.0,中国,中文,中国摄影出版社,,中山大学,17000.0,新闻传播学院,,杜江（140145）,140145
900,突发公共事件下心理健康服务体系建构与实践,编著,978-7-218-15309-4,,2021-11-01,30.0,,中文,广东人民出版社,,中山大学,51000.0,公共卫生学院,,郭蓝（200525）、卢次勇（014185）,200525、014185
901,预防医学,教材,978-7-117-33191-3,,2022-08-01,65.1,,中文,人民卫生出版社,,中山大学,51000.0,公共卫生学院,,卢次勇（014185）、郭蓝（200525）,014185、200525
902,Lyrik der Gegenwart当代诗歌,编著,978-3-96707-665-3,,2022-08-10,5.88,,外文,edition text + kritik,,中山大学,15000.0,外国语学院,,ROHDE CARSTEN FRANK（180286）,180286
903,中国-东盟旅游教育与人才培养研究报告,编著,9787306076946,,2022-12-31,31.5,,中文,中山大学出版社,,中山大学,40000.0,旅游学院,,徐红罡（006774）、张朝枝（050113）、高俊（210555）,006774、050113、210555
