专家id,专家账号,专家姓名,职称,单位,一级学科,二级学科,三级学科,研究方向,论文,项目,知识产权,奖项,其他成果,已对接需求,团队id,category_id
6453,040013,郑寿森,副教授,物理学院,机械工程,机械制造自动化,数控技术,机电一体化，控制技术,22344、22345、22353、22380、24110、34627、45391,181、1106、9612、12840、13255、13528、18079、18544、20068、20360、20371、20667、23550、28511、28790、30593、33366、41214、41728、42014、43421、43487、43676、43677、43679、44382、44744、45284、45285、45670、45990、46175、46197、46270,594、638、639、5364,,,128、1982,4247,57、56、58
6454,040035,王嘉蔚,助理研究员（高教系列）,中山眼科中心,,,,无,,36862,,,,,4248,51
6455,812500,罗学群,教授,附属第一医院,,,,儿科二科,2725、27999、29632、29933、31604、36316、36793、37910、39599、41048、41310,7417、9539、10196、11102、17658、19062、20423、21916、22782、23387、27535、29078、31783、36196、38212、40578、42176、42520,5450,,,,2766,51
6456,812570,邹外一,副主任医师,附属第一医院,,,,血液内科二区,33894、33897、33901,22641、25296、27419、27420、27570、28054、29076、30630、33735、39867、42516、42683、43507、45025,,,,,4249,51
6457,812579,冯崇锦,教授,附属第一医院,,,,口腔颌面外科,,25258、25301、32752、33708、36393、38680、43558、44248、44254、44336、45505、46400、46407、46808,,,,,4250,51
6458,820314,李建国,教授,孙逸仙纪念医院,,,,无,,20126、20871、35953、42531、46913、47100、47555,,,,,4251,51
6459,820342,郭庆,教授,孙逸仙纪念医院,,,,无,,531、7706、9863、19043、20251、20268、22062、22580、25749、27599、35906、36406、38879、40619、40862、42427、44306、44940,,,,,4252,51
6460,820410,李希清,主任医师,孙逸仙纪念医院,,,,无,,848、30404、33646、35727、42103、42177、44303,,,,,4253,51
6461,821041,钟婷,主管护师,孙逸仙纪念医院,,,,无,12816,,,,,,5578,51
6462,140033,潘静,教授,心理学系,,,,视知觉与动作控制,21330、24755、24779、27670、30361、30368、31619、32005、32061、32074、34615、37179、37879、39005、39855、40480、41155、41419、45758、45759、45764、45785、45822、45823、45825、45861、45950、45955、46353、46354、46420,372、2147、8610、10503、12139、12695、12759、20730、22346、51717、51852、52634,,5541、9288,,1026,5450,142
6463,140087,赵国芳,研究实习员,设备与实验室管理处,,,,,,11123,,6724,,4617,4254,146
6464,140096,刘艳玲,研究实习员,历史学系,,,,,,,,,,,4255,118
6465,140110,张丽,会计师,财务处,,,,会计,3674、34196、43066,38315、39232、50901,,,,,4256,149
6466,140128,刘官正,副教授,生物医学工程学院,基础医学,生物医学工程学,生物医学电子学,生物医学智能传感及信号处理,15249、21614、21615、22925、23444、23613、23633、23660、26745、28967、30599、33959、37398、37829、37877、37962、38572、40314、45450、45451、45461,2564、4273、9474、10494、13573、15846、15849、17262、19226、19305、21101、22412、23287、23302、24194、24958、25206、28758、30987、31363、51437、51608、51705、51728、52210,551、552、553、4438、4847、6343,1273,,2552,8158,46
6467,140172,王鹏璋,研究实习员,网络与信息中心,,,,,,,,,,,4257,146
6468,132504,谢志,教授,中山眼科中心,基础医学,基础医学其他学科 ,,无,3338、3348、4824、4855、11601、39033、43764,127、5639、5669、6072、7140、8742、9476、14099、15932、16048、17984、18068、19690、19714、20409、21791、21856、23056、23061、24361、25817,,,,,6028,51
6469,004035,鞠实儿,教授,哲学系,哲学,逻辑学,哲理逻辑,非经典逻辑与逻辑哲学、逻辑学的认知基础、逻辑与文化,22444、25691、29519、30763、31513、32244、32344、32380、32622、33968、34756、40635、41797、42955、46340、46341,2020、2039、2411、2674、2842、5831、6149、9394、10737、10953、12933、12974、13008、13397、15618、18427、18525、20926、20931、21549、23802、24991、28486、28862、29794、30562、31622、31657、33481、35054、35094、35379、37061、37847、39854、41352、41897、44425、44432、45526、46186、47483、47713、47833、47834、47868、49269、51665、51997、52419,,336、700、1199、4970、5112、5793、7139、8008、8668、9291,408、1440,,4258,123、119、124
6470,004179,林琳,教授,地理科学与规划学院,地球科学,地理学,"人文地理学(包括区域地理、旅游地理, 其他入有关学科)",建筑地理、城乡规划,11883、11884、13070、13071、13142、13143、13144、13145、13146、17921、25685、25819、26125、26138、28164、28700、32147、32237、33587、33604、34267、34370、34937、34989、35018、37008,8389、8749、10757、13124、13171、14331、14533、15661、15789、15893、15897、18762、19364、20969、21702、24227、26210、26211、26489、27087、27088、28374、28375、28376、28377、28378、28379、29815、31576、32084、32336、33083、35198、35847、37220、37221、37222、39226、39639、40738、41256、42922、43326、44450、45293、45528、45543、46738、46780、46844、46994、47131、47600、48034、48382、48387、48549、48626、48630、48784、48792、48930、48931、48943、49364、50348、51691、51957、52563,,2116、2224、8947,682、2139,601、1097、1504、1542、1696、2683、2693、3214、3323、3797,1823,139、79、77
6471,170112,赵德鹏,教授,药学院,药学,药物化学(包括天然药物化学等),,多肽药物,13487、13493、13494、13495、13496、13778,838、4369、12192、12918、13654、13767、14112、14640,1664、3295、4021、5714,,,1536,823,45
6472,170157,罗荘竹,教授,材料学院,材料科学,材料表面与界面(包括表面优化技术),,海洋化工及热带海洋动态防腐科学与技术,2424、4327、12677、12678、12679、12680、12681、13130、13131、13132、13133、17607、26051、27155、28898、33391、37521、37630、38343、40047、40641,4780、6897、7066、9111、15508、51335,547、2282、2283、3407,8426,,1796,6570,62
6473,160217,刘晔,教授,地理科学与规划学院,地球科学,地理学,"人文地理学(包括区域地理、旅游地理, 其他入有关学科)",城市地理、人口地理、健康地理,788、790、892、893、894、895、1157、1158、1620、2667、2689、2727、13522、13523、13524、13525、13526、13527、13543、13544、15122、15644、15654、15655、15656、15657、15658、15659、15660、15661、15662、15663、15664、15665、15666、15667、15668、15669、15670、15671、15672、15673、15674、15680、15681、15682、15683、15684、15704、15705、15706、15707、15708、15709、15710、15711、15712、15713、15714、15715、15716、15717、15718、15719、15720、15721、15723、15735、15736、15737、15738、15739、15740、15741、15742、15743、15744、15745、15746、15747、15748、15752、15753、15754、15755、15756、15760、15769、15771、15772、15773、15774、15775、15776、15777、15778、15779、15780、15781、15782、15783、15784、15785、17605、17682、17684、17785、22766、29363、29822、33153、33926、34741、36510、36750、38047、43310、43312、43318、43323、43331、44948、44949、44950、44951、46823、46824,6348、9810、10096、12107、13668、14364、14607、15538、17025、49555、49566、49775,,1825、1826、1827、1828、1829,505,1588、2869、3621、3824、4225、4583、4598,4259,139、77、123
6474,160313,刘晓,助教（高校）,教育发展与校友事务办公室,,,,,,,,75、628、3643、4503、7147、7905,,,4260,144
6475,821103,区永康,主任医师,孙逸仙纪念医院,,,,无,,23342、25889、31114、33649、39893、41061、42422、42499、42675、43993、43996、45473,,,,,4261,51
6476,821124,杨炼红,主任医师,孙逸仙纪念医院,,,,无,,23944、34003、38757、39818、40858、44305、45199、45488、46149、46153、47554,,,,,4262,51
6477,100124,吴登山,研究实习员,财务处,,,,,,,,,,,4263,149
6478,100150,赵娟娟,副教授,护理学院,,,,护理学,17274、17275、17276、17277、17278、17279、17280、17281、17282、17283、17284、17285、17286、17287、17288、17289、17290、17291、17292、20115、20117、20120、20123、20638、20654、26687、32948、33761、34157、35758、36508、36714、37843、38322、40332、40463、45849、45961、46359、46456,4197、4285、9060、10325、10329、11977、13468、13805、14095、15057、15466、18989、19632、20125、20872、21683、24603、29875、31800、50260、50500、50572、50573、50783、51526、51760、52271、52273、52309、52320,3970,526、637、752、1432、2877、2878、3396、3545、3650、3790、4674、5119、5805、5996、6360、6769、7402、8054,2012,,299,52
6479,100175,肖红,副教授,体育部,,,,体育人文与历史，形体礼仪文化,,9294、23113、26181、30571、34784、51346、51663、52251,,1738、4984,23、790、1486、1880,,4264,150
6480,101030,蒋宏,主治医师,附属第一医院,,,,小儿外科,15983、16460,9892、22181、32808,,,,,786,51
6481,102032,任萌,副教授,孙逸仙纪念医院,,,,无,13966、14119、14120、14156、16453、24303、31261,7214、8743、14004、18158、18684、20857、21634、22564、23357、23358、23632、23950、24354、25734、26085、26234、27558、27967、29889、30084、31124、35750、38540、39817、40716、40867、41065,830、2096,,,,4265,51
6482,143535,郭娜,主治医师,肿瘤防治中心（肿瘤医院、肿瘤研究所）,,,,无,,2965、20000、20006、21967、23425、25414,,,,,4266,51
6483,143543,班晓华,主治医师,肿瘤防治中心（肿瘤医院、肿瘤研究所）,,,,无,,10520、13022,,,,,4267,51
6484,145513,王晓东,讲师（高校）,附属口腔医院,,,,无,,25806,,,,,4268,51
6485,722839,李奇观,主治医师,孙逸仙纪念医院,,,,无,,,,,,,4269,51
6486,083078,黄子真,主治医师,附属第三医院,,,,无,2862、29377,6047、6955、10130、18225、21964、22233、22718、23898、25418、25426、25753、51345,,,,,5628,51
6487,083120,曾庆劲,主治医师,附属第三医院,,,,无,16736、28579、30470、31287,9919、15452、18213,,,1405,,2781,51
6488,165460,罗慧,讲师（高校）,附属第五医院,,,,无,3308、15193,5375、9914、10294、18310,,,,,5139,51
6489,003995,江绍基,教授,物理学院,物理学,光学,应用光学,薄膜光学,14758、18402、19043、24250、24681、26836、27413、30891、31680、34408、37767、39230、39420、41471、45780,10706、14606、20108、21518、26541、28533、28800、29292、30813、38378、38403、38474、39634、40925、41226、41911、43105、43279、44504、45699、45805、45835、46464、46465、46495、46817、46950、46967、46984、47948、48022、48078、48196、48211、48310、48413、48521、48635、48984、49304、51235,239、4220、4432、5237、6026,,,1077,6594,27
6490,724896,蒙媛丽,医师,孙逸仙纪念医院,,,,心血管内科,,,,,,,4270,51
6491,724530,张汉卿,医师,孙逸仙纪念医院,,,,无,4749、16196,,,,,,981,51
6492,724532,李元君,医师,孙逸仙纪念医院,,,,无,,,,,,,4271,51
6493,004735,朱卫斌,教授,历史学系,历史学,专门史,专门史其他学科,中美关系史,20797、33591、46863,9742、15962、21007、23788、24829、26644、27250、27839、29506、30033、39000、44357、44591、44785、45988、46503,,,,926、1783,4272,118
6494,142083,刘博,研究实习员,孙逸仙纪念医院,,,,无,,,,,,,4273,51
6495,152504,龚莉莉,副研究员（自然科学）,中山眼科中心,基础医学,医学细胞生物学,,无,3243,2312、7572、8945、22028、22041、23056,,,,,3735,51
6496,724922,曾红华,医师,孙逸仙纪念医院,,,,无,,,,,,,4274,51
6497,725040,李佳妮,医师,孙逸仙纪念医院,,,,无,,,,,,,4275,51
6498,153512,刘盼盼,主治医师,肿瘤防治中心（肿瘤医院、肿瘤研究所）,,,,无,14760、26999、28621,11699、13928、15192、19120、20540、22091,,,,,104,51
6499,153545,燕翠菊,医师,肿瘤防治中心（肿瘤医院、肿瘤研究所）,,,,无,,7606,,,,,4276,51
6500,001261,吴义雄,教授,历史学系,历史学,中国近代史、现代史,鸦片战争史,中国近代史,24335、27119、32133、34263,216、711、3041、3334、6110、9631、11602、12934、13297、15774、17999、18554、20335、21182、24432、24433、24622、27147、27249、28537、32866、34710、35361、39015、40332、44609、46667、48048,,577、2889、2890、3609、3925、4011、4349、4758、5097、5389、6218、6663、7264、7699、7781、8118、8554、8847、9249,1273、1410,112、1001、1241、2110、2586、3961,4277,118
6501,722956,刘佳浩,助理研究员,孙逸仙纪念医院,,,,无,43757,7743、11881、14469、20250、22081、22568、22579、22586,,,,,180,51
6502,723612,陈焕波,医师,孙逸仙纪念医院,,,,无,,,,,,,4278,51
6503,723630,袁小玲,医师,孙逸仙纪念医院,,,,无,,,,,,,4279,51
6504,160008,李伟忠,教授,中山医学院,基础医学,医学遗传学,,精准医学生物信息,4823、4824、4825、4826、4827、4849、25779、34647、37772、39225,269、5636、6072、7163、7879、14749、16469、19690,2883、3237、4364、4529、4612、5462、5799、6480,8162,98、1516,,1733,51
6505,724543,彭丽琴,医师,孙逸仙纪念医院,,,,无,,,,,,,4280,51
6506,724544,罗信,医师,孙逸仙纪念医院,,,,无,,,,,,,4281,51
6507,820322,陈亚进,教授,孙逸仙纪念医院,,,,无,25727、39088,8748、11728、18183、19014、20155、22072、25377、27961、28393、36087、39384、40127、40215、41673、43538、46343,,,,,470,51
6508,770016,高凯,医师,中山眼科中心,,,,,,1870、8113、9845、17704,,,,,4282,51
6509,770020,陈婉,医师,中山眼科中心,,,,无,3482、3483、3689、11771、12589、12617、12621、30473,132、7743、8781、10460、17703、51750、52135,,,,,581,51
6510,170125,廖仲行,副教授,数学学院,数学,组合数学,,图论,1440、1441,9698、12271,,,,,4283,136
6511,170305,茹春平,助教（高校）,设备与实验室管理处,,,,,378、454,14787,,8、127、128、641、1778、4168、4653、4887、7409、7799,,,383,144
6512,170336,张蒙,副教授,化学工程与技术学院,化学工程,化学反应工程,催化剂工程,海洋资源转化利用，绿色催化过程,2566、2567、2579、24294、25047、35526、39191,3294、4145、12381、12996、49714,3639,8929,,1629、1659、2462、2778、2871、4321、4827、5260、5269、5380,3692,90、91
6513,174363,甘文昌,医师,附属第六医院,,,,无,,5586,,,,,4284,51
6514,003946,何洪,副研究员（社会科学）,党委巡视工作办公室,,,,,,,,155、7870,,,4285,93
6515,820375,李楚强,副主任医师,孙逸仙纪念医院,,,,无,,30069、38767、42537、43539、44938,,,,,4286,51
6516,820386,周淑娴,教授,孙逸仙纪念医院,,,,无,11498,9、14026、18175、20265、21785、25379、25381、25760、25973、26257、27349、29841、30062、33999、35408、36231、42412、42414、42469、43032、43773、44939、45191、46146,,,,,2509,51
6517,820389,刘生,主任医师,孙逸仙纪念医院,,,,无,,42688、43018、44829、46890、48357,,,,,4287,51
6518,723133,陈焕兰,医师,孙逸仙纪念医院,,,,无,,,,,,,4288,51
6519,724582,周梦婷,医师,孙逸仙纪念医院,,,,无,,,,,,,4289,51
6520,724586,尤丽丽,研究实习员,孙逸仙纪念医院,,,,待完善,16453、31261、31645,10421,,,,,4265,51
6521,004135,谭燕,教授,管理学院（创业学院）,,,,会计,13502、13503、23906、32151,21285、21331、22370、30509、39101、44613,,,,,4290,132、133、134
6522,004149,郭兴勇,助理研究员（社会科学）,党委组织部,,,,,,27439、41918,,5438,,,4291,144
6523,860852,刘万里,主管技师,肿瘤防治中心（肿瘤医院、肿瘤研究所）,临床医学,临床诊断学,实验诊断学,无,821、884、21624、27121、29578、31344、32245、39207,2232、5166、13953、17696、17756、25780、28958、29866、30754、30759、31018、36341、38846、41674、41675、41949、43501、44808、44979、45382,5382,,,,628,51
6524,872089,林少芬,主管技师,中山眼科中心,,,,无,,18191、19115、25482、26796、26798、26919、27549、27927、29024、29692、29873、30335、31071、32526、33187、33848、34484、35740、36526、38170、38854、38859、40148、40876、41878、42208、42350、42554、42650、43552、44917、46653,,,,,4292,51
6525,872096,邹玉仙,主管护师,中山眼科中心,,,,无,5342,28600、32821、33983,,,,,90,51
6526,110026,洪海,副教授,中山医学院,基础医学,人体免疫学,,肿瘤免疫,24753、27265、32023、37091、37131、37157、38538,6201、11397、19961、23458、30452、30655、49469、49698,,2682、3052,,2750,4409,51
6527,110031,朱书尚,教授,管理学院（创业学院）,管理学,,,金融工程与风险管理,2346、2347、2348、2349、26943、38983、39876,3597、8018、8235、10052、15117、16628、19887、22331、23215、25141、26407、28933、29242、36314,,4358、5627、6681、7437、7964、9416,,,4293,135
6528,110159,崔浩,教授,材料科学与工程学院,材料科学,无机非金属材料,低维无机非金属材料(包括薄膜、纤维和零维非金属材料等),电催化材料的构筑与器件研究,904、905、3140、7681、8176、8179、8453、12988、24028、24443、24655、25144、30179、37065、38679、39214、39517、39671、39747、41007、41096、41111、41127、42734、42750、43461、43541、43810,5134、9473、9815、12055、16657、18757、19842、21294、25071、25093、28746、29230、30828、31028、34378、35454、35481、35570、37147、37586、49651、50622,245、3683、4264、4305、6353、6454,,,,218,68
6529,110167,杜建会,副教授,地理科学与规划学院,地球科学,,,海岸风沙地貌,17923、22231、22232、22233、22407、22408、22409、22410、22411、22412、22413、22414、22415、22416、22418、22419、22420、22421、22422、22823、22824、22830、22833、22834、32180、32337、34617、38017,8135、10162、14951、17215、21463、21700、21702、28276、29268、30859、31401、33565、33568、33594、34405、34753,1551,,,1301、1506、2041、2554、3252、3323、5366,4723,141
6530,111021,王冕,副主任医师,附属第一医院,,,,血管外科,22828、29466、30443、31299、32310,17722、18952、18998、20094、20306、22220、22665、23025、23258、26923、27284、27416、27601、28057、28086、29660、29816、30738、31143、31151、31180,51,,,,3654,51
6531,111050,李坤河,主治医师,附属第一医院,,,,麻醉科,,,,,,,4294,51
6532,724546,张国扬,医师,孙逸仙纪念医院,,,,无,2005,,,,,,647,51
6533,724547,王稳健,医师,孙逸仙纪念医院,,,,无,55,7438、8765、10623,,,,,940,51
6534,724548,李文鹏,医师,孙逸仙纪念医院,,,,待完善,869、12488、15176,9870,,,,,4295,51
6535,724549,曾晖,医师,孙逸仙纪念医院,,,,无,,,,,,,4296,51
6536,724552,石芬,医师,孙逸仙纪念医院,,,,无,,1902、2516、7723,,6605,,,4297,51
6537,724553,谭玉婷,医师,孙逸仙纪念医院,,,,无,,,,,,,4298,51
6538,724554,李婧,医师,孙逸仙纪念医院,,,,无,3483,,,,,,581,51
6539,724555,刘曼琳,医师,孙逸仙纪念医院,,,,无,,,,,,,4299,51
6540,724564,方文丽,医师,孙逸仙纪念医院,,,,无,,4614、7722、10576,,,,,4300,51
6541,724566,陈珂,医师,孙逸仙纪念医院,,,,无,,7714、9537,,,,,4301,51
6542,724567,丁林,医师,孙逸仙纪念医院,,,,无,,,,,,,4302,51
6543,724568,蓝晓雯,医师,孙逸仙纪念医院,,,,无,32261,,,3157、3158,,,4213,51
6544,111054,张宝,医师,附属第一医院,,,,心胸外科ICU,,21611、25609,,,,,4303,51
6545,112032,李瑞岐,助理研究员,孙逸仙纪念医院,,,,无,13034、13040、13613、13614,7727、13511、19028、22577、23961、25887、26087、29650、30388、31110、31773,,,,,5609,51
6546,113046,李灿明,主治医师,附属第三医院,,,,无,,17428、18311、19096、20849、23084、23436、23905、25656、25677,,,,,4304,51
6547,120008,黄敏,副教授,物理学院,物理学,,,强超快激光与固体相互作用,14758、19043,7939、21865、29327、30789、50622、50809、51376、51796、52014,2042,7112,,5102,6594,137
6548,120170,刘健阳,研究实习员,化学学院,地球科学,,,,,259、10161,,4771,,,4305,138
6549,724836,王文胜,助理工程师,孙逸仙纪念医院,,,,,3602,,,,,,4306,51
6550,724853,区绮云,医师,孙逸仙纪念医院,,,,无,16452,,,,,,850,51
6551,724480,廖蓓,主治医师,孙逸仙纪念医院,,,,无,,,,,,,4307,51
6552,120293,王大为,副教授,化学学院,化学,物理化学,催化化学,超分子基功能纳米材料,5798、5815、14791、14800、14801、14803、24392、24688、27076、27163、27614、27635、28895、29258、31379、31729、31940、32294、32400、32967、36784、38315、38795、39241、40993、41176、41194、45977、46412,8002、12575、12832、13280、15523、16568、18465、19766、21722、26302、27331、27740、27741、28360、50128、50168、50686、50956,3213,2653、2922、2924、2925、2934、3960、5498、7223、7502、7873、9185,,,1570,59、90
6553,121052,邝丽芬,主治医师,附属第一医院,,,,血液内科,,19536、20321、25624,,,,,4308,51
6554,121070,叶艳婷,主治医师,附属第一医院,,,,皮肤科,,7418、7791、11834、22188、23405、23994、23998,,,,,4309,51
6555,821938,叶穗雯,主管药师,孙逸仙纪念医院,,,,无,,51601,,,,,4310,51
6556,152008,朱玥,主治医师,孙逸仙纪念医院,,,,无,16332、16333,3950、7405、22052,,,,,4332,51
6557,152014,王圣文,主治医师,孙逸仙纪念医院,,,,无,12489、15067、15068,11869、12313、19013、19050、20706,,,,,267,51
6558,152070,王琴,主治医师,孙逸仙纪念医院,,,,无,5140、5141、5143、5144、5145,6979、11276、12643、13394、18500、18615、20507、21126、22699、23451、25850、27161、28726、29244、32229、33869、33886、34977、35150、36759、38817、38821、39663、39826、40232、42153、50916,,,,,4311,51
6559,153543,陈东,医师,肿瘤防治中心（肿瘤医院、肿瘤研究所）,,,,无,816、23460,841、7617、14049、21915、22181、22642、22645,,,,,3770,51
6560,724858,赵宗凯,医师,孙逸仙纪念医院,,,,无,16480、27758,7729,,,,,4068,51
6561,724861,赵晶,医师,孙逸仙纪念医院,,,,无,,,,,,,4312,51
6562,820404,陈勍,主任医师,孙逸仙纪念医院,,,,无,,21909、22067、23046、23933、29059、29687、30385、33656、34018、35984、37372、38632、42457、42470、42666、43534、43783、48004,,,,,4313,51
6563,820416,许耀东,主任医师,孙逸仙纪念医院,,,,无,,25375、25753、39376、42422、42682、45473、49121,,,,,4314,51
6564,820419,叶剑涛,主任医师,孙逸仙纪念医院,,,,无,,26776、32954、36343、38665、38861、42095、43029、43879、43880、45106,,,,,4315,51
6565,820433,李海刚,主任医师,孙逸仙纪念医院,,,,无,3582、30532,2773、18486、33660、34002、34191、34292、34495、36388、37373、40621、42094、42668、43782、43988、44000、44312、44936,,,,,981,51
6566,820438,陈玉成,主治医师,孙逸仙纪念医院,,,,无,,43030,,,,,4316,51
6567,122040,庄沛林,副主任医师,孙逸仙纪念医院,,,,无,43680,13503、15258、20440、20853、22152、22730、23341、23352、31052,,,,,8277,51
6568,122047,温鑫,主治医师,孙逸仙纪念医院,,,,无,3380、3404、3406,22083、22592、28717,,,,,4483,51
6569,860832,谭肖鹂,副主任技师,肿瘤防治中心（肿瘤医院、肿瘤研究所）,,,,无,,27946、32789,,,,,4317,51
6570,123759,童冲杰,主治医师,肿瘤防治中心（肿瘤医院、肿瘤研究所）,,,,无,,25799,,,,,4318,51
6571,123771,欧阳翼,主治医师,肿瘤防治中心（肿瘤医院、肿瘤研究所）,,,,无,126、29353、29388,,,,,,3512,51
6572,124046,胡邦,主治医师,附属第六医院,,,,无,13573、13574、13575,5585、6951、10613、21135、22523、23442、23443、30344,,,,,3502,51
6573,124061,肖艳红,主管技师,附属第六医院,,,,无,,8462,,,,,4319,51
6574,130008,肖苏妹,副教授,公共卫生学院,预防医学与公共卫生学,流行病学,,慢性疾病（如骨质疏松、肌少症等）的危险因素与防制措施研究,9882、9883、9884、9885、10549、10551、10576、10934、10941、10943、10960、10966、10973、21942、21943、21945、21946、21948、32234、33994、40784、46749,7827、9463、17687、18129、18150、19687、19688、20106、21810、24023、24358、24533、25731、49442、50060、50520、52191,,2359、2373、2374、2375,244、281,4219,6652,50
6575,006831,杨宏奇,教授,计算机学院（软件学院）,,计算数学,,正反问题计算,14108、25069、44851、46242,100、5854、6744、9456、9470、15652、16571、17034、18582、19608、20722、21758、22285、22313、24979、27478、27827、28535、29637、32452、37793、39790、41425、41868、46093、46523、47227、47890、48408、50120,,891、932、2858,,603,5582,35
6576,124109,黄亚娟,医师,附属第六医院,,,,无,14765,22257、22518、25688,,,,,968,51
6577,125525,李晓岚,讲师（高校）,附属口腔医院,,,,无,,18911、26926,,,,,4320,51
6578,860630,郑列,副主任医师,肿瘤防治中心（肿瘤医院、肿瘤研究所）,,肿瘤学,,无,136、282、686、689、6874、19723、19918,18202、29015、38642、38646、38649、39350、39793、43958、45167、45411,,,,,271,51
6579,860643,卓水清,主管技师,肿瘤防治中心（肿瘤医院、肿瘤研究所）,,肿瘤学,,无,,6996、45171,,,,,4321,51
6580,860706,何伟雄,副主任医师,肿瘤防治中心（肿瘤医院、肿瘤研究所）,,,,无,,25501、27859、31035、38790、42041、42045、42643,,,,,4322,51
6581,860951,朱颖慧,副研究员,肿瘤防治中心（肿瘤医院、肿瘤研究所）,,肿瘤学,,无,3589,7607、13919、14572、16992、16993、20175、22120、23239、25579、27875、28440、31031、31606、36247、38880、41671、42123、42130、43737、43964,,,,,125,51
6582,113059,李腾成,主治医师,附属第三医院,,,,无,1977、1980、1981、22550,199、649、10257、13486、19094、19992、23894、25435、31085、32780、38886,,,,,1303,51
6583,130337,康明亮,副教授,中法核工程与技术学院,核科学技术,放射性三废处理、处置技术,,放射性废物处理与处置、环境放射化学,9328、10141、10409、10437、10445、10447、10457、10460、10462、10468、10470、10474、10475、10477、10515、10581、10586、10662、10663、10668、10671、10675、11052、12248、23823、45122,4063、7094、7545、10390、11578、15525、15584、16678、18463、20346、20365、24205、24500、25087、50133、50177、50199、50235、50402、50600、50679、50779、50816,4030,1309、2553、8790,,1625、3746、3891、4134、4152、4589,2361,90
6584,131076,黄桂贤,主管护师,附属第一医院,,,,急诊观察区,,,,,,,4323,51
6585,131128,唐舒锦,医师,附属第一医院,,,,神经科,,10122、18938、51343,,,,,4324,51
6586,131154,成艳美,副主任医师,附属第一医院,,,,重症医学,,11894、17555、17717,,,,,4325,51
6587,131157,周倩,助理研究员,附属第一医院,,,,流行病学研究室,12256、12259、16460、28607、30487、31097、34441、34580、38076、42294,370、4503、9508、12432、19687、19688、20083、23255、25629,,,1757、1923,,1733,51
6588,131174,何沛恒,副主任医师,附属第一医院,,,,骨关节炎,,5366、20283、20297、20881、22164、22606、23968、25611、25902,,,,,4326,51
6589,723438,何筱天,医师,孙逸仙纪念医院,,,,无,55,7438、17710、19015,,,,,940,51
6590,860770,李传行,副主任医师,肿瘤防治中心（肿瘤医院、肿瘤研究所）,,肿瘤学,,无,6873,32769、36598、36740、38165、42616、43967,,,,,7875,51
6591,860816,刘庆,主管药师,肿瘤防治中心（肿瘤医院、肿瘤研究所）,,肿瘤学,,无,3607,680、25800、28804、31020、33799、34152、34307、35712、36325、36600、38650、39344,,,,,4327,51
6592,133152,余治平,研究实习员（高教系列）,附属第三医院,,,,无,,,,,,,4328,51
6593,133825,王芳,助理研究员,肿瘤防治中心（肿瘤医院、肿瘤研究所）,,,,无,40110,7、2283、4559、8820、15200、15448、16374,,,,,4329,51
6594,821996,冯素玲,主治医师,孙逸仙纪念医院,,,,无,,30408、34181、35953、42531,,,,,4330,51
6595,822122,杨正飞,副主任医师,孙逸仙纪念医院,,,,无,,7699、14686、14689、23020、23336、26073、29061、30397、30664、31139、31634、34173、35876、36304、39371、43030、44318,,,,,4331,51
6596,822189,肖治宇,副教授,孙逸仙纪念医院,临床医学,外科学,普通外科学,无,478、11111、16332、16333、16384,537、7708、8838、11184、20439、22071、22575、27960、29685、31109、31131、34500、36304、36573、38010、39384、40503、41642、42185、43530,,,,,4332,51
6597,830116,朱家馨,副主任技师,附属第三医院,,,,无,16653,25413、25434、28601、32787、36623、39364、39869、41057、41107、42565、43522、43981、45184、45893,,,,,2016,51
6598,830172,王昆,主任医师,附属第三医院,,,,无,2655、6615、8152、8156、13769,643、3107、7664、15431、16136、16297、17522、17714、19721、19997、22552、23345、23418、23886、27627、28605、31103、32534、35580、38191、38726、40177、40732、40836、42664、43527、43900、44276、45457,,,,,8145,51
6599,830453,谢仕斌,主任医师,附属第三医院,,,,无,18801,29539、33696、36620、38622、40326、41056、41490、42653、44823、45365、47395,,,,,82,51
6600,830492,马盈盈,副主任护师,附属第三医院,,,,无,6141、34884、40426,1878、30382,,,,,4018,51
6601,724875,陈曦,医师,孙逸仙纪念医院,,,,无,,,,,,,4333,51
6602,724881,麦皓尘,医师,孙逸仙纪念医院,,,,无,,,,,,,4334,51
6603,003777,吕雅璐,副教授,党委统战部,,,,,24745,2520、4256、4472、13448、13455、14816、40315、43368、52370,,6519、8359,112、1397、1415、1625,,4335,144
6604,123038,魏磊,主治医师,附属第三医院,,,,无,,19101、23976、25667、25923、31178,,,,,4336,51
6605,123084,葛淑琦,医师,附属第三医院,,,,无,,25282、30352,,,,,4337,51
6606,123087,侯博,主治医师,附属第三医院,,,,,,1874、13479、21587、23416、23888、23893、26000、29043、29682、30349,,,,,4338,51
6607,123139,贺需旗,主治医师,附属第三医院,,,,无,31287,9919、15452、18220、21600、23423、25675、28117、31084、31098,,,1405,,2781,51
6608,830874,卞华伟,主治医师,附属第三医院,,,,无,,,,,,,4339,51
6609,831008,尉秀清,主任医师,附属第三医院,,,,无,,681、14753、25666、25999、28579、28592、28594、29681、30625、30695、31093、34093、35950、36973、44274、44950,,,,,4340,51
6610,850026,李怀富,主任医师,附属第五医院,,,,无,,38189,,,,,4341,51
