其他成果id,成果名称,成果类型,日期,归属二级单位名称,成员信息,校内成员账号
1323,比较文学概论,教材,2021-02-01,,梁丹丹（220543）,220543
1324,推古论今辩东西,编著,2020-11-01,,张清江（180393）,180393
1325,博弈歹计和困局破解,专著,2018-04-01,,朱富强（020031）,020031
1326,Globalizing Japanese Philosophy as an Academic Discipline,编著,2017-07-01,,廖钦彬（150013）,150013
1327,单位犯罪新论,专著,2018-09-01,,聂立泽（006836）,006836
1328,测试-新传媒,编著,2021-03-01,人力资源管理处,吕黛蓉（080103）、赵蕊华（210522）,080103、210522
1329,21世纪大学英语应用型视听说教程（第4版）2,教材,2018-08-01,,梁欣欣（012081）、徐小云（012090）,012090
1330,公私合作伙伴关系在公共体育场馆中的应用,专著,2017-09-30,,屈萍（120226）,120226
1331,立法与德性：柏拉图法义发微,译著,2019-09-01,,张清江（180393）,180393
1332,人体寄生虫学学习指导与习题集（第2版）,教材,2018-11-01,,苏川、诸欣平、李朝品、吴忠道（013061）、何蔼（013109）,013061
1333,《玄思的魅与惑——王弼、汤用彤研究论集》,专著,2020-12-21,,李兰芬（004635）,004635
1334,《中国劳动力动态调查：2015年报告》第十三章. 卫生服务与费用,专著,2015-11-13,,吴少龙（120131）、王琼（140166）,120131、140166
1335,广州与海洋文明II,编著,2018-06-10,,江滢河（006680）,006680
1336,隐忍的崛起,专著,2020-08-01,,姜鹏（190056）,190056
1337,图书馆数字资源选择标准研究,专著,2013-11-05,信息管理学院,唐琼（110170）,110170
1338,《基础护理学基本技能（汉英对照）（第二版）》,专著,2017-06-01,,林小玲（150173）、万丽红（019649）、陈妙霞（830126）,150173、019649、830126
1339,古典讲演5,教材,2018-03-23,哲学系（珠海）,Jun-Hyeok Kwak（160019）,160019
1340,《菲律宾蓝皮书：菲律宾发展报告(2017～2018)》,编著,2019-11-01,国际关系学院,张宇权（006886）,006886
1341,应对校园欺凌的“孙子兵法”,编著,2020-05-31,,穆岩（110018）,110018
1342,大学体育 新兴运动项目教程,教材,2018-09-01,,张新萍、武东海、尚瑞花、范振国、杨波、仇亚宾、罗微、罗曦娟、欧阳建飞、彭伟群（005995）、宋花香、孙国栋、王磊、王守力、杨茜、杨利春、赵云雷、郑建民,005995
1343,A Corpus-Based Approach to Clause Combining in English from the Systemic Functional Perspective,专著,2019-06-11,,何清顺（180064）,180064
1344,《东南亚及周边地区气候变化》,编著,2019-11-01,大气科学学院,杨崧（130001）、吴仁广、简茂球（004146）、黄健、王子谦（190530）、胡晓明（190527）、蒋兴文、魏维（200547）、乔云亭（020112）、林文实（006077）、胡春迪（180180）、张团团（200035）,130001、004146、190530、190527、200547、020112、006077、200035
1345,可持续发展的经济学分析,专著,2020-11-01,,张丰（020192）,020192
1346,黄海章珍藏书画图录,编著,2014-05-01,,程焕文（001372）、沈津、潘颖、李福标（020105）、丁春华（060150）、陈莉（006753）、王蕾（050130）、张琦（080148）、蒋文仙（050182）、倪莉、李卓（050128）、肖卓（040110）,001372、020105、060150、006753、050130、080148、050182、050128、040110
1347,论精神：海德格尔与问题,译著,2014-08-01,,朱刚（040123）,040123
1348,Handbook of Solid-State Lighting and LEDs,专著,2017-05-30,,冯哲川、张佰君（060017）,060017
1349,流行病学实习教程,教材,2017-08-16,,陈维清（014044）,014044
1350,《局部解剖学习题集》(国家卫生健康委十三五规划教材) (ISBN：978-7-117-28471-4)人民卫生出版社,教材,2019-06-30,,汪华侨（013084）,013084
1351,岭南特色药材薄层色谱指纹图谱,编著,2020-08-01,,杨得坡（006147）,006147
1352,《高尔夫俱乐部运营与管理》,教材,2015-10-01,,陈奕滨、何莽（110173）,110173
1353,数据库原理与应用教程,教材,2003-06-01,,罗志高（001683）、苏恒阳、李智波,001683
1354,目的地市场营销与管理：理论与实践,译著,2014-09-01,,张朝枝（050113）、郑艳芬,050113
1355,体质健康视角下高校体育教学创新研究,专著,2017-06-19,,周才（006721）,006721
1356,amphioxus immunity,编著,2018-07-01,,徐安龙（8130001）、蔡兴盛、董向茹、冯宇超、黄光瑞、黄盛丰（070143）、李锐、李宇新、彭建、阮劼、淘鑫、王瑞华、李军、杨平、杨日荣、元冬娟、元少春（100161）、张杰、郑婷婷,070143、100161
1357,城市盾构隧道施工过程力学特性研究研究,专著,2021-07-15,,梁禹（220519）、黄林冲（120118）,220519、120118
1358,FerroelectricMaterials for Energy Applications,专著,2018-07-30,,姜格蕾、陈伟津（150174）、郑跃（090036）,150174、090036
1359,陈序经图录,编著,2014-11-05,,王蕾（050130）,050130
1360,全国科学技术名词定审员会《阿尔茨海默病名词》,编著,2019-06-30,,汪华侨（013084）,013084
1361,护理管理学（第4版）,教材,2018-09-01,,郑翠红、张俊娥（019617）,019617
1362,21世纪大学英语应用型视听说教程教学参考书（第四版）4,教材,2018-11-17,,徐小云（012090）,012090
1363,Shapes of Tourism Employment: HRM in the Worlds of Hotels and Air Transport,编著,2020-06-30,,Gwena？lle Grefe、Dominique Peyrat‐Guillard、朱宏（150166）,150166
1364,与法共进,编著,2018-12-01,法学院（知识产权学院、中英国际海事法学院）,孙莹（140229）、徐韬（17210835）,140229
1365,弘赞和尚选集,编著,2015-12-01,,肖卓（040110）、李福标（020105）、张珊珊（050125）、仇江、张燕,040110、020105、050125
1366,小儿造口护理和康复指南,专著,2017-01-30,,郑美春（860291）、邝云莎、黄漫容（815565）、张俊娥（019617）、蒋梦笑（760655）,860291、815565、019617
1367,植物学,教材,2020-10-01,生命科学学院,廖文波（005302）、刘蔚秋（005797）、冯虎元、辛国荣（B00260）、石祥刚（030104）、凡强（070144）、黄椰林（020179）、刘莹（120212）、周仁超（060124）、唐恬（040104）、金建华（005762）、叶创兴（000681）、李春妹（139018）,005302、005797、070144、020179、120212、060124、040104、005762
1368,神经康复技术,专著,2019-09-01,,李琨（100151）,100151
1369,中国非物质文化遗产保护发,编著,2020-03-01,,宋俊华（020067）,020067
1370,船舶绕流场精细测试和分析技术,专著,2019-09-01,海洋工程与技术学院,郭春雨、吴铁成（220533）、赵大刚、韩阳,220533
1371,广州市非物质文化遗产保护发展报告（2016）,编著,2016-12-01,,宋俊华（020067）,020067
1372,媒介社会学,教材,2019-12-31,新闻传播学院,张宁（030191）,030191
1373,缅甸华侨史,专著,2019-07-01,,姜帆（180068）,180068
1374,Magnesium- and Calcium-based Catalysts,专著,2016-01-01,,洪亮（140026）、wangsheng sun、rui wang,140026
1375,21世纪大学英语应用型视听说教程（第四版) 1,教材,2018-07-07,,徐小云（012090）,012090
1376,Fiscal Underpinnings for Sustainable Development in China Rebalancing in Guangdong,编著,2018-01-01,,Ethisham Ahmad、牛美丽（050059）、肖可舟,050059
1377,2017年鉴大事记部分,编著,2019-12-01,,崔秦睿（004885）,004885
1378,中国人口流动与健康,编著,2015-03-01,,凌莉、Sarah Cook、张术芳、陈雯（130278）,130278
1379,MOOC-席卷全球教育的大规模开放在线课程,教材,2014-05-01,,王维佳（050183）,050183
1380,《多元与无端——列维纳斯对西方哲学中一元开端论的解构》。,专著,2016-10-01,,朱刚（040123）,040123
1381,中山大学法学院口述历史——法学学科复办前期纪实,编著,2020-09-01,,曾东红（004058）,004058
1382,田炜印稿,专著,2018-11-01,,田炜（110082）,110082
1383,生理学,教材,2020-06-01,医学院,周光纪、信文君（040150）、徐国强、唐俊明、秦燕、肖中举、张璟璇、梁玲利、谢露、徐婷（200539）、崔宇（060129）、柏林、赵丹、谈智（040152）、何惠、潘际刚、周萍、霍福权、卢宁、张秀娟、吴江,040150、200539、060129、040152
1384,数据库原理与应用教程,教材,2007-06-30,,罗志高（001683）、张海康、李智波、苏恒阳、罗梓元,001683
1385,生物海洋学,译著,2020-01-01,,龚骏（160219）,160219
1386,政道与治道：儒家的政治观,译著,2016-07-01,,中田喜万、廖钦彬（150013）,150013
1387,广东图书馆学会40年,编著,2003-10-08,,程焕文（001372）、林庆云、潘燕桃（004645）,001372、004645
1388,人文临床与伦理疗愈,编著,2017-11-01,,廖钦彬（150013）,150013
1389,当代中国近代经济史研究：1949-2019,专著,2019-12-01,,李晓龙（180383）,180383
1390,朱子学的新研究——近世士大夫思想的展开,译著,2017-03-30,,傅锡洪（200580）,200580
1391,药物分析实验与指导（第四版）,教材,2020-01-01,,徐新军（050007）,050007
1392,铅冷快堆液态铅合金技术基础,编著,2020-12-01,,成松柏（150029）、程辉（196782）、陈啸麟（15356018）、叶仪基（15356096）,150029
1393,可见光室内定位技术,专著,2020-04-30,,冯立辉、江明（130013）、韩大海、杨爱英、张民,130013
1394,Plasma remediation technology for Environmental Protection,专著,2017-02-28,,杜长明（060181）、严建华,060181
1395,Monographs in Tang Official Historiography: Perspectives from the Technical Treatises of the History of Sui (Sui shu),专著,2019-09-01,,朱一文（130348）,130348
1396,水与能: 陆地蒸散发、热环境及其能量收支,专著,2014-06-01,,熊育久（110174）、邱国玉,110174
1397,红楼叠影 中山大学近代建筑群的人文解读,编著,2016-10-01,,吕雅璐（003777）、钟春兰（140246）,003777、140246
1398,环境卫生学,教材,2017-07-05,,董光辉（140011）,140011
1399,生物科学综合实验,教材,2020-08-31,生命科学学院,张雁（070017）、孙彩云（140134）、何祖勇（100157）、曹永长（060005）、陈笑霞（070194）、黄盛丰（070143）、卢湘婉（149215）、张玉婵（160302）,070017、140134、100157、060005、070143、160302
1400,应急检验学,教材,2012-07-01,,曹东林、王前、胡娟、郑峻松、温旺荣、林忠宁（014187）、周小棉、肖琴（070162）,070162
1401,以团队为基础的学习TBL-医学教育中的实践与探索,专著,2015-08-01,,王淑珍（015217）,015217
1402,左传选读,编著,2015-08-01,,李南晖（006765）,006765
1403,The Routledge Handbook of Festivals,专著,2018-04-30,,张骁鸣（060139）,060139
1404,广东黑石顶种子植物检索指南,教材,2018-05-01,,刘蔚秋（005797）、石祥刚（030104）、周仁超（060124）、刘莹（120212）、凡强（070144）、廖文波（005302）、叶华谷（167130）、叶创兴（000681）,005797、060124、120212、070144、005302
1405,介入性超声的临床应用,编著,2018-09-20,,李凯（043014）、许尔蛟（891062）、黄伟俊（730882）、张辉（043015）、戴琳、陈俊伟（063013）、赵齐羽、银琳（830939）、曾庆劲（083120）、贺需旗（123139）、郭光辉（113102）、谭雷（123138）、黄倩楠（183108）、吴宇轩（730255）,043014、043015、063013、083120、123139、113102、123138、730255
1406,临床试验统计学,教材,2019-10-01,公共卫生学院,凌莉（014081）、苏炳华、陈峰、刘玉秀、夏结来、黄钦、金丕焕、姚晨,014081
1407,Frontiers in natural product chemistry-chapter 4-  Overview of Past and Present Developments Towards Biotechnological and Molecular Approaches to Improve Taxol Production,专著,2019-08-09,,Samavia Mubeen、何春桃（200552）、Bilal Ahmad Asad、杨中艺（004975）,200552、004975
1408,植物学实验解剖图解,教材,2020-08-01,,李春妹（139018）、刘莹（120212）、廖文波（005302）、凡强（070144）、石祥刚（030104）、刘蔚秋（005797）、辛国荣（B00260）、周仁超（060124）、黄椰林（020179）,120212、005302、070144、005797、060124、020179
1409,广州湾租借地：法国在东亚的殖民困境（上卷）（译著）,译著,2016-11-01,,郭丽娜（006120）,006120
1410,美国所藏如容闳文献合编,译著,2021-03-10,,吴义雄（001261）,001261
1411,道教仪式与戏剧表演形态研究,专著,2011-05-20,,倪彩霞（040163）,040163
1412,中国公共卫生理论与实践(精),专著,2016-03-01,,李立明、姜庆五、王冬亮（110137）,110137
1413,医学细胞生物学实验指导及习题集,教材,2018-08-15,,王波（012062）,012062
1414,高亨文存,编著,2018-02-01,,梁丹丹（220543）,220543
1415,红楼叠影：中山大学近代建筑群的人文解读,专著,2016-10-01,,吕雅璐（003777）、谢蓉（006397）,003777、006397
1416,新大学英语视听说教程.4,教材,2012-07-01,,王哲（005979）、王丽娟、刘建达,005979
1417,西方象征主义的中国化（中国语言文学文库·学人文库）,专著,2018-12-30,,陈希（020081）,020081
1418,Collective bargaining and changing industrial relations in China: lessons from the U.S. and Germany,专著,2013-06-01,,罗斯琦（130161）,130161
1419,灌区水转化机制与用水效率评估方法,专著,2020-10-01,,谭学志（170198）,170198
1420,创新驱动-广东再创辉煌,专著,2020-05-01,,李新春（006107）、杨永福（030035）、张书军（006524）、傅慧（006376）、汪建成（060167）、朱仁宏（006543）、伍兆祥（19110192）,006107、006524、006376、006543
1421,英美研究,编著,2014-12-28,,廖益清（020191）,020191
1422,通信原理实验,教材,2020-02-28,,陈翔（140060）、刘敏（006673）,140060
1423,讲科学秀科普,编著,2019-05-27,,王燕、杨帆、江珍（139089）、徐达政（013107）、伍慧勤（012123）,012123
1424,企业社会责任基础教材,教材,2019-10-01,,陈宏辉（030150）,030150
1425,大学化学,教材,2018-08-15,,龚孟濂（000624）、乔正平（006634）、梁宏斌（B00296）、甘峰（030037）、石建新（006614）、卢锡洪（130273）,006634、030037、006614、130273
1426,自我,译著,2016-03-01,,王岫庐（140260）,140260
1427,金属-有机框架材料,专著,2017-11-01,,张利（100037）、苏成勇（006373）,100037、006373
1428,"Hölderlins Archipelagus. Mythos, Philosophie, Gattungspoetik.",专著,2020-08-24,外国语学院,陈郁忠（190292）,190292
1429,其命维新：百年广东美术研究文选：1905-2016,编著,2018-07-01,,杨小彦（050018）,050018
1430,《局部解剖学》(第3版) (全国高校十三五规划教材),教材,2018-05-30,,汪华侨（013084）,013084
1431,启动孩子的科学大脑,译著,2019-07-31,,穆岩（110018）,110018
1432,从异域到旧疆：宋至清贵州西北部地区的制度、开发与认同（修订再版）,专著,2019-10-01,,温春来（020117）,020117
1433,医学教师必读-实用教学指导,译著,2018-12-01,,郭开华（030064）,030064
1434,日俄战争清政府因应档案,编著,2020-07-01,,吉辰（190218）,190218
1435,地基处理技术理论与实践,专著,2019-08-02,,汤连生（005160）、宋晶（130235）,005160、130235
1436,《虚无主义：哲学反思》（译著）,译著,2019-07-01,国际翻译学院,马津（130215）,130215
1437,新会陈皮的研究与应用,编著,2019-10-03,,杨得坡（006147）、赵志敏（120282）、徐新军（050007）,006147、120282、050007
1438,胡炳文《孟子通》,专著,2020-10-31,,宋健（207052）,207052
1439,环境与健康研究知识问答,编著,2017-05-17,,董光辉（140011）,140011
1440,融合与修正：跨文化交流的逻辑与认知研究,专著,2020-08-01,,李枏（186630）、袁永锋（170330）、文学锋（120309）、鞠实儿（004035）、陈伟伟（227086）、冯聪（120145）、罗旭东（110032）、朱谕（197041）,170330、120309、004035、120145
1441,人机交互中的用户行为研究,编著,2019-04-15,,武汇岳（130150）,130150
1442,逻辑学导论,译著,2021-11-01,哲学系,沈榆平（110131）、文学锋（120309）、刘虎（060062）、陈彦瑾、任远（006519）、何杨（140230）、唐丽萍,110131、120309、060062、006519、140230
1443,软件困局：为什么聪明的程序员会写出糟糕的代码,译著,2019-11-01,,乔海燕（040190）、曾烈康（14348162）,040190
1444,从现象学到古典学,译著,2020-11-01,,朱刚（040123）,040123
1445,案例合同法学,教材,2021-03-01,,丁春燕、李正华（005277）,005277
1446,简帛探微——简帛字词考释与文献新证,专著,2016-04-01,,范常喜（070127）,070127
1447,大洋洲蓝皮书--大洋洲发展报告（2016-2017）,编著,2017-10-01,,喻常森（005116）、常晨光（004571）、王学东（040120）,004571、040120
1448,新闻英语视听说（全新版）,教材,2010-02-01,,王哲（005979）、李军军、辛枝、吴伟英、谭立新、王维蓉、李继红、吴凝、张珺、朱清萍,005979
1449,组织学与胚胎学,专著,2018-06-26,,秦丽娜（130244）,130244
1450,The Practice of One Country Two Systems in Hong Kong,专著,2017-05-01,,谢桂霞（120257）,120257
1451,客户关系管理（第二版）,教材,2018-08-30,岭南学院,邬金涛（030110）、严鸣、薛婧,030110
1452,广州贸易： 中国沿海的生活与事业,译著,2018-05-10,,江滢河（006680）、黄超,006680
1453,广东教育审计规范,编著,2007-04-01,,丁朝霞（163506）、徐广生（003711）,163506
1454,全球变化背景下农作物空间格局动态变化,专著,2014-09-01,,刘珍环（130216）、李正国、唐华俊、周清波、杨鹏、吴文斌、陈仲新、石淑芹、黄青、唐鹏钦、李志鹏、杨晓光、刘志娟、谭杰扬、何英彬、夏天、张莉、余强毅,130216
1455,沉默的芦苇,译著,2020-09-20,,吕娜（200555）,200555
1456,宋明理学中的身体与诠释之维,专著,2019-01-09,,陈立胜（004914）,004914
1457,锦屏文书,编著,2020-12-20,,张应强（005134）,005134
1458,"English-medium instruction in Chinese universities: Perspectives, discourse and ｅｖａｌuation",编著,2017-05-03,外国语学院,赵静（140119）、L. Quentin Dixon,140119
1459,专业基础医学汉语——细胞生物学篇,教材,2017-09-01,,邓淑兰（012063）、莫秀英（012006）,012063
1460,护理人际沟通与礼仪（第2版）,教材,2017-01-01,,林小玲（150173）、李晓玲、单伟颖,150173
1461,同一健康与新发传染病,译著,2019-05-19,公共卫生学院,陆家海（030172）、郝元涛（014178）、郭中敏（030183）,030172
1462,混沌中的探索：殷海光的思想困境,专著,2006-08-01,政治与公共事务管理学院,黎汉基（030149）,030149
1463,施工海域中华白海豚声学保护技术,专著,2018-03-15,,王丁、吴玉萍（020027）、余烈、苏权科、王克雄、刘建昌、段国钦、曹汉江、王志陶、宁曦（130344）、黄志雄、方亮（167053）、时文静、原静、林文治（157138）、郑锐强（09110489）、莫雅茜（08344046）、余新建、郭浪、李俊（109045）、温华、张菊、徐洪磊、郑学文、傅毅明、柴瑞、苏宗贤、段鹏翔、程兆龙,020027
1464,2016-2017稀土科学技术学科发展报告,编著,2018-03-01,,王静（040085）、庄卫东、解荣军、刘荣辉、卞祖强、张忠义、周亮、刘元红、苏良碧,040085
1465,医学分子生物学实验技术,教材,2020-11-01,中山医学院,韩骅、高国全（011012）、李冬民、喻红、马宁、王丽颖、王丽影、王银银、王梁华、史岸冰、吕社民、刘帅、关一夫、汤立军、杨霞（012134）、杨笑菡、何凤田、张健、陈园园、周倜（130242）、赵晶、夏斌、徐平、梁亮,011012、012134、130242
1466,Handbook of Mechanics of Materials,专著,2019-05-10,,马乐乐、陈伟津（150174）、郑跃（090036）,150174、090036
1467,环糊精化学-反应与催化,专著,2016-04-20,,杨祖金（120254）,120254
1468,医学英语（基础医学）,教材,2019-07-01,,徐小云（012090）,012090
1469,共同缔造工作坊——社区参与式规划与美好环境建设的实践,编著,2016-12-01,,李郇（005078）、刘敏、黄耀福,005078
1470,"Advanced Polyimide Materials: Synthesis, Characterization and Applications",专著,2018-03-01,,张艺（020108）,020108
1471,经藏游意——佛教义学综论,专著,2017-10-09,,冯焕珍（005770）,005770
1472,《佛山祖庙修缮报告》,编著,2018-08-31,,何辉平（199666）,199666
1473,汤茶本草：靓汤与凉茶里的本草文化,编著,2021-04-01,,杨得坡（006147）,006147
1474,《抗战烽火中的中山大学》,编著,2017-11-01,,吕雅璐、姚明基、许存芝、刘一凡、李敏玲（050118）,050118
1475,高等教育、区域创新与经济增长：粤港澳大湾区高等教育融合与大学集聚发展研究,专著,2019-10-24,粤港澳发展研究院,许长青（060104）、郭孔生、周丽萍,060104
1476,杨小彦自选集,专著,2018-03-01,,杨小彦（050018）,050018
1477,从异域到旧疆：宋至清贵州西北部地区的制度、开发与认同,专著,2008-06-01,,温春来（020117）,020117
1478,《新型农村合作医疗-支付方式改革操作指南》第九章. 诊断相关组（DRGs）付费,专著,2015-06-13,,王禄生、王琼（140166）,140166
1479,律师与公证实务（第二版）,教材,2017-08-01,,李正华（005277）、丁春燕,005277
1480,大学生军事理论与技能训练教程,教材,2016-08-09,,古添雄（015244）,015244
1481,海洋科学综合实习（海洋生物方向）,教材,2018-03-01,海洋科学学院,黄志坚（020088）,020088
1482,大学生排球联赛市场化运行机制研究,专著,2019-11-01,体育部,张淼（180313）,180313
1483,现代流行病学-第3版,编著,2019-01-15,,陈维清（014044）,014044
1484,社会治理创新与和谐社区建设：广东探索,编著,2019-11-01,,岳经纶（040072）、管兵（140123）,040072
1485,论施特劳斯,专著,2015-10-31,,陈建洪（150057）,150057
1486,国际体育赛事开幕式表演组织策划与运营管理,专著,2021-05-12,,肖红（100175）、周小青、丁明坚、詹国燕,100175
1487,21世纪大学英语应用型综合教程教学参考书（第三版）4,教材,2018-08-01,,徐小云（012090）,012090
1488,Handbook of Clean Energy Systems (Volume 5 - Energy Storage),专著,2015-07-16,,王维龙（130240）、Jinyue Yan,130240
1489,生物化学（第三版）,教材,2017-09-01,,黄志纾（004595）、欧田苗（070165）、古练权（004172）,004595、070165
1490,法律论证与修辞,编著,2014-01-31,,谢耘（110138）、熊明辉,110138
1491,齐物论及其影响,专著,2019-08-01,,陈少明（000250）,000250
1492,Wills临床眼科彩色图谱及精要. 葡萄膜炎,译著,2015-02-01,,迟玮（152501）,152501
1493,《Academic Library  Development and Administration in China》--Assessment and Evaluation of Academic Libraries in China,编著,2021-11-23,,苏日娜（199641）,199641
1494,滨海动物学野外实习指导,教材,2017-06-01,,项辉（005322）、黄建荣（020084）、蒙子宁（060183）,005322、020084、060183
1495,京都学派与舍勒的人学：从西田几多郎、田边元谈起,编著,2018-11-01,,廖钦彬（150013）,150013
1496,上海话音系习得,专著,2019-10-28,中国语言文学系（珠海）,杨蓓（180165）,180165
1497,多动症儿童的科学教养,编著,2018-08-01,,金宇（014122）,014122
1498,流行病学学习指导与习题集,教材,2018-03-16,,陈维清（014044）,014044
1499,功能语义视角下的英汉语篇研究,专著,2020-04-01,,陈瑜敏（110165）,110165
1500,墨西哥记忆,译著,2020-12-01,,廖悦（180321）,180321
1501,医学统计学,教材,2013-12-01,,郝元涛（014075）、邱洪斌、祁艳波、郭艳萍、黄水平、曾芳芳（014041）、吴少敏,014041
1502,《文字·文献·文明》,编著,2019-10-01,,田炜（110082）,110082
1503,Rigour and Reason,编著,2020-06-01,,谢耘（110138）,110138
1504,基层治理法治化与法律风险管理,编著,2018-11-01,,刘恒（004116）、徐武,004116
1505,马华文学十二家,专著,2019-07-01,,朱崇科（050049）,050049
1506,面向事情本身之思,编著,2020-11-01,,张清江（180393）,180393
1507,龙廷洋大臣（海关洋员传记丛书）,译著,2018-04-01,,李爱丽（006523）,006523
1508,天然药物化学实验教程,教材,2007-11-01,,王军（006860）、王冬梅、蓝文健（040157）、杨得坡（006147）、袁月梅（020193）,040157、006147、020193
1509,《操盘旅游——一名挂职学者的实践笔录》,专著,2016-12-01,旅游学院,何莽（110173）,110173
1510,地下经济对国家经济安全影响的实证研究（第1册）,专著,2020-10-14,,夏南新（005629）,005629
1511,南海北部泥底辟/泥火山形成演化与油气及水合物成藏,专著,2019-06-01,海洋科学学院,何家雄、万志峰（120202）、张伟、姚永坚、苏丕波、徐行,120202
1512,经史之间的思想与信仰,编著,2020-11-01,,张清江（180393）,180393
1513,革命与发展中的人权探索——列宁的人权思想及其实践研究,专著,2017-11-30,马克思主义学院,黄寿松（050159）,050159
1514,交易费用与公共经济,专著,2017-10-09,,周燕（040122）,040122
1515,《医学遗传学》（第3版）,编著,2014-12-01,中山医学院,郭奕斌（011005）,011005
1516,医学信息技术基础教程（第二版）,教材,2020-08-01,,周毅（014179）、蔡永铭、李伟忠（160008）、练伟（014111）、孙小强（140214）、王清、傅蓉、谭定英、刘慧玲、刘迅（830912）、王萍（199606）、胡珊（011037）、刘佳、森干、李琳、彭柳芬,014179、160008、014111、140214、830912
1517,侵权责任法,教材,2011-02-15,,杨彪（080080）,080080
1518,新海丝路上的新加坡与中国,专著,2017-04-01,国际关系学院,黎相宜（130245）,130245
1519,高校成本控制与财务风险防范,专著,2016-09-30,,许长青（060104）,060104
1520,临床流行病学,教材,2020-07-01,,陈维清（014044）,014044
1521,Linguistic Prefabrication,专著,2018-09-12,,丁建新（020131）,020131
1522,Patriotism in East Asia,编著,2017-06-19,,Jun-Hyeok Kwak（160019）,160019
1523,口炎清物质基础及组方规律研究专著,专著,2020-06-01,,苏薇薇（006654）、姚宏亮（167219）、李楚源、王德勤、郑玉莹（196540）、彭维（069063）,006654
1524,广州市非物质文化遗产名录图典（2009-2014）,编著,2019-06-01,,宋俊华（020067）,020067
1525,Novel Thermoelectric Materials and Device Design Concepts,专著,2019-01-01,,帅晶（190166）,190166
1526,媒介话语的进路,译著,2015-11-01,,徐桂权（140226）,140226
1527,中学化学课程教材改革与发展研究,编著,2016-07-01,,汪波（005379）,005379
1528,国际学术会议实务,编著,2021-03-01,,孟凡刚（090015）、孟雅冰（196606）,090015
1529,商法概论（第二版）,教材,2018-08-01,,覃有土、张茳、李正华（005277）,005277
1530,自我与世界：以问题为中心的现象学运动研究（修订版）,专著,2017-12-01,,陈立胜（004914）,004914
1531,垂虹问俗 : 田野中的近现代江南社会与文化,专著,2018-08-01,,吴滔（050058）,050058
1532,21世纪大学英语应用型综合教程教学参考书教学光盘（第3版）2,教材,2018-06-01,,徐小云（012090）,012090
1533,乐读史学,教材,2019-07-01,,王国巍、贾智（170362）,170362
1534,国际卫生保健,教材,2013-08-31,,黄奕祥（015250）,015250
1535,汉剧与汉派文化,专著,2020-04-01,,陈志勇（130083）,130083
1536,哲学的田野,教材,2020-09-01,,杨玉昌（006422）,006422
1537,为谁风露立中宵,编著,2020-08-31,,陈希（020081）,020081
1538,东莞明伦堂档案,编著,2020-06-01,,刘志伟（001235）,001235
1539,贫困地区公共文化服务创新发展：“安康样板”研究,编著,2020-06-01,,王惠君、王全吉、张靖（080120）,080120
1540,人格权法十八讲,教材,2019-02-01,,丁春燕、李正华（005277）,005277
1541,走在运河线上－大运河沿线历史城市与建筑研究,专著,2013-12-01,,陈薇、沈旸、赵林、王劲（120269）、张剑葳、刘捷、钟行明、申丽萍、李国华、焦泽阳,120269
1542,西樵山与岭南理学的传承,专著,2017-09-01,,任建敏（190559）、温春来（020117）,190559、020117
1543,模拟电路实验,教材,2011-06-16,,李宁（005325）、唐锦成（001943）、郭东亮（060187）、陈曼娜（002451）,060187
1544,管理会计实务,教材,2020-05-15,,龚凯颂（005621）,005621
1545,柚皮苷在幼年及老年大鼠体内的药代动力学研究,专著,2020-11-02,,苏薇薇（006654）、曾璇（196539）、王声、彭维（069063）,006654
1546,《孔子四十箴言》(Confucius forty analects),专著,2021-05-24,,穆凯（197010）、曾记（120227）,120227
1547,病原生物学实验技术标准操作程序,编著,2019-04-01,,赖小敏（014031）、李美玉（140238）、潘爱华（017054）、黄锦桃（012155）、朱兆玲（014046）、周红（014002）、陈剑煌（139015）、张瑞琳（013104）,014031、140238
1548,健康行为与健康教育,教材,2020-01-15,,顾菁（110079）,110079
1549,英语母语者汉语情态习得多角度探析,专著,2016-04-15,,赖鹏（006031）,006031
1550,恢复生态学,教材,2020-06-30,,彭少麟（030168）、周婷（130301）、廖慧璇（210535）、张海杰（177329）、陈宝明（080052）,030168、130301、210535、080052
1551,什么是生态语言学,专著,2019-08-20,,赵蕊华（210522）,210522
1552,中山汉英医学词典,编著,2003-06-01,,刘玮（860058）,860058
1553,鸡山村史,编著,2015-07-01,,唐章雄、谢湜（090026）,090026
1554,海洋仪器分析,编著,2019-04-01,,邹世春（006062）、杨颖（150147）、郭晓娟（119129）,006062、150147
1555,话语分析：实用工具及练习指导,译著,2020-10-10,外国语学院,何清顺（180064）,180064
1556,《圣学格物通》（《湛若水全集》第8-11册,专著,2020-09-01,,张永义（005592）,005592
1557,医学汉语实习篇1,教材,2020-10-30,,邓淑兰（012063）、莫秀英（012006）,012063
1558,借题发挥,专著,2019-06-01,,刘志伟（001235）,001235
1559,情感、循吏与明清时期司法实践,专著,2019-10-01,,徐忠明（001357）,001357
1560,肿瘤学（本人负责全册终审定稿的审校工作）,教材,2020-11-01,,甘可建（184383）、徐瑞华（860215）、陈国强,184383、860215
1561,《创新思维》,教材,2016-09-30,,吴晓义、徐诗荣（030007）,030007
1562,《空气颗粒物与健康》,专著,2019-09-01,,曾晓雯（120239）,120239
1563,新世纪研究生公共英语教材·阅读B（学生用书）,教材,2006-09-01,,王哲（005979）、王善平、赵伟礼,005979
